[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Mushroom.001
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 0.300000 Y 2.000000 Z -0.800000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Mushroom.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Mushroom.002
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X -0.800000 Y 2.000000 Z -0.100000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Mushroom.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Mushroom.003
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 0.000000 Y 2.000000 Z 0.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Mushroom.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Flag
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 4.500000 Y 2.000000 Z 2.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
